ALL TIME TOTAL
Person,Total donations, total raw, median donation, median raw, percent itemized, percent itemized raw, total not itemized, total not itemized raw, percent individual donors, percent individual donors raw, percent from ward, percent from ward raw, percent from chicago, percent from chicago raw
Ameya_Pawar,0.42,442496.82,0.24,300.0,0.44,0.843725588808,0.46,69150.93,0.86,0.41532708449,0.7,0.682466037057,0.8,0.814783015289
Anthony_Beale,0.72,888896.87,1.0,500.0,0.5,0.853873070787,0.68,129891.77,0.22,0.241900877873,0.2,0.573739504517,0.18,0.69617559882
Anthony_Napolitano,0.2,183807.31,0.24,300.0,0.06,0.651337860284,0.44,64086.65,0.66,0.35942551603,0.24,0.581651070083,0.12,0.647512801884
Ariel_Reboyas,0.56,615591.05,1.0,500.0,0.14,0.724739110486,0.78,169448.14,0.1,0.171817142628,0.88,0.754282770066,0.86,0.829258745813
Brendan_Reilly,0.94,2093793.51,1.0,500.0,0.78,0.924715240903,0.74,157630.74,0.74,0.384439134732,0.74,0.711820514966,0.66,0.780307200102
Brian_Hopkins,0.62,758180.41,1.0,500.0,0.86,0.937901310323,0.36,47082.01,0.9,0.457983030197,0.76,0.712343608142,0.6,0.774841287788
Carlos_Ramirez-Rosa,0.1,71383.39,1.0,500.0,0.22,0.755988192771,0.16,17418.39,0.62,0.355137589178,0.9,0.758639859168,0.82,0.82720281664
Carrie_Austin,0.76,1090546.25,1.0,500.0,0.8,0.928296997949,0.54,78195.44,0.48,0.319473246631,0.58,0.661852396799,0.58,0.7725106774
Chris_Taliaferro,0.18,175075.72,1.0,500.0,0.74,0.906754631653,0.14,16325.0,0.54,0.332905261784,0.46,0.627707074336,0.46,0.75370190447
Daniel_Solis,0.52,498918.97,1.0,500.0,0.12,0.716653688273,0.7,141366.85,0.34,0.279987152642,0.14,0.525126378778,0.48,0.761875079918
David_Moore,0.12,81975.2,1.0,500.0,0.38,0.828179742166,0.12,14085.0,0.4,0.290421297919,0.22,0.578731540046,0.2,0.706879638004
Deborah_Mell,0.48,488763.62,0.26,371.0,0.66,0.892905142981,0.4,52344.07,0.56,0.340317018337,0.52,0.653152522613,0.32,0.721882257566
Debra_Silverstein,0.24,266323.48,1.0,500.0,0.94,0.949384860847,0.1,13480.0,0.72,0.375592046115,0.08,0.505132266017,0.08,0.609072181731
Derrick_Curtis,0.06,39132.88,1.0,500.0,0.02,0.544299320674,0.18,17832.88,0.28,0.255868544601,0.4,0.619718309859,0.4,0.741784037559
Ed_Burke,1.0,5162190.53,1.0,500.0,0.42,0.842808475339,0.98,811452.6,0.6,0.347665849871,0.32,0.606539465823,0.16,0.682382781442
Emma_Mitts,0.46,488350.74,1.0,500.0,0.52,0.854626717674,0.5,70993.15,0.14,0.182332852746,0.48,0.641596262811,0.5,0.762716667019
George_Cardenas,0.86,1640628.26,1.0,500.0,0.64,0.888221046491,0.8,183387.71,0.16,0.202839860584,0.72,0.6957539234,0.52,0.769949902918
Gilbert_Villegas,0.28,307364.31,1.0,500.0,0.96,0.975936243216,0.06,7396.34,0.12,0.171890852213,0.1,0.514593208068,0.06,0.60887077377
Gregory_Mitchell,0.08,70557.85,0.24,300.0,0.18,0.741092025905,0.2,18267.99,0.94,0.488650380781,0.68,0.679892047904,0.42,0.743001798054
Harry_Osterman,0.3,318202.5,0.24,300.0,0.32,0.823893589774,0.42,56037.5,0.3,0.256002898938,0.66,0.673743634734,1.0,0.868964201934
Howard_Brookins,0.66,848042.04,1.0,500.0,0.62,0.886993361791,0.6,95834.38,0.52,0.32906672341,0.54,0.661355442724,0.44,0.748752890924
James_Cappleman,0.04,11551.0,0.3,490.0,1.0,1.0,0.04,0.0,1.0,1.0,0.02,8.65725911177e-18,0.02,0.0649294433382
Jason_Ervin,0.34,355683.45,1.0,500.0,0.7,0.894417353408,0.32,37554.0,0.2,0.241269709547,0.16,0.529441709971,0.56,0.771429146217
Joe_Moreno,0.68,849314.25,1.0,500.0,0.88,0.944227534155,0.38,47368.35,0.68,0.367147522046,0.96,0.766658424215,0.84,0.828175466699
John_Arena,0.6,640065.65,0.12,250.0,0.2,0.746601618131,0.76,162191.6,0.82,0.408386393863,0.38,0.618773942632,0.7,0.787906708891
Joseph_Moore,0.96,2829478.6,1.0,500.0,0.54,0.862189599172,0.94,389931.58,0.7,0.368834940513,0.56,0.661815753812,0.38,0.733296925755
Leslie_Hairston,0.8,1226024.97,0.24,300.0,0.28,0.790702982175,0.88,256603.37,0.5,0.322909939288,0.62,0.670524650988,0.76,0.802942393691
